Product_Name,Price,Total Discount,Rating,Display_size,Operating_system,Screen_Resolution,Speaker Output
Vu Premium ,38999,48,4.4,139,0,4,30 
Mi 4C ,14999,25,4.3,80,0,1,20 
Mi 5X ,41999,30,4.2,125.7,0,4,40 
SAMSUNG ,17499,12,4.3,80,6,1,20 
TCL P615 ,33999,46,4.4,126,0,4,24
TCL C815 Series ,59999,68,3.8,139,0,4,50 
Mi 4X ,42999,14,4.3,138.8,1,4,20 
iFFALCON by TCL ,12499,34,4.2,79.97,0,1,16 
LG ,33490,18,4.4,108,8,3,20 
MOTOROLA ZX2 ,20999,30,4.4,80,0,1,40 
SAMSUNG Crystal 4K Pro ,38990,28,4.3,108,6,4,20 
TOSHIBA U50 Series ,37999,30,4.3,139,7,4,30 
Infinix X1 ,11999,33,4.2,80,0,1,20 
LG ,52999,33,4.4,139,8,4,20 
Vu Premium ,24999,37,4.3,108,0,3,24 
TCL P615 ,57999,51,4.1,164,0,4,24 
Vu Cinema TV Action Series ,46999,44,4.4,138,0,4,100 
MOTOROLA ZX Pro ,32999,29,4.3,109,0,4,24 
TCL P715 ,41999,61,4.3,139,0,4,30 
TCL C715 Series ,52999,59,4.4,139,0,4,30 
Thomson OATHPRO Series ,32999,19,4.4,126,0,4,30 
Hisense A71F ,36999,25,4.4,139,0,4,30 
LG ,49999,23,4.4,126,8,4,20 
TCL P615 ,29999,42,4.4,108,0,4,24
iFFALCON by TCL ,30999,47,4.3,126,0,4,24 
Mi Q1 ,58999,1,4.4,138.8,0,4,30 
Vu ,40999,36,4.4,126,0,4,100 
SAMSUNG ,17499,12,4.3,80,6,1,20 
Thomson R9 ,8499,19,4.2,60,0,1,20 
MOTOROLA ZX Pro ,32999,29,4.3,109,0,4,24 
TOSHIBA ,12499,16,4.4,80,7,1,16 
TCL C815 Series ,59999,68,3.8,139,0,4,50 
Vu cinema TV ,36999,38,4.2,126,0,4,40 
Vu Premium ,31000,22,4.4,108,0,4,24
iFFALCON by TCL ,35999,66,4.3,138.6,0,4,30 
TOSHIBA U50 Series ,37999,30,4.3,139,7,4,30 
Nokia ,39999,33,4.3,127,0,4,60 
OnePlus U1S ,49999,16,4.3,139,0,4,30 
LG ,42990,28,4.5,108,8,4,20 
Hisense A71F ,36999,25,4.4,139,0,4,30 
iFFALCON by TCL 107.86 CM (43 inch) Full HD LED Smart Android TV,21999,51,4.2,107.86,0,3,20 
Nokia ,31999,30,4.1,109,0,4,39 
SAMSUNG ,18490,11,4.3,80,6,1,20 
TCL P615 ,57999,51,4.1,164,0,4,24 
Thomson 9A Series ,19499,9,4.4,102,0,3,24 
SAMSUNG Crystal 4K Pro ,57490,28,4.3,146,6,4,20 
PHILIPS 7600 Series ,45999,48,4.7,146,5,4,20 
TCL C715 Series ,52999,59,4.4,139,0,4,30 
KODAK 7XPRO Series ,12999,29,4.4,80,0,1,24 
TCL C715 Series ,45999,58,4.4,126,0,4,30 
TCL P715 ,31999,46,4.3,108,0,4,19 
SAMSUNG ,17499,12,4.3,80,6,1,20 
SAMSUNG The Frame 2020 Series ,76999,40,4.6,138,6,4,40 
Thomson 9A Series ,20499,26,4.4,106,0,3,30 
SAMSUNG Crystal 4K ,48990,28,4.3,125,6,4,20 
TCL C815 Series ,59999,68,3.8,139,0,4,50 
MOTOROLA ZX Pro ,39999,27,4.3,127,0,4,50 
Thomson 9A Series ,11999,17,4.4,80,0,1,24 
SONY X74 Bravia ,67990,19,4.6,125.7,0,4,20 
Hisense A71F ,36999,25,4.4,139,0,4,30 
Thomson 9R PRO ,31999,25,4.3,126,0,4,40 
Hisense A71F ,33999,22,4.4,126,0,4,30 
Hisense A73F ,46999,21,4.5,139,0,4,102 
TCL P615 ,57999,51,4.1,164,0,4,24 
KODAK 7XPRO Series ,20499,26,4.4,106,0,3,30 
KODAK 7X Pro ,19499,7,4.4,102,0,3,24 
SONY Bravia ,43490,3,4.5,108,4,3,20 
TCL C715 Series ,52999,59,4.4,139,0,4,30 
TOSHIBA U50 Series ,37999,30,4.3,139,7,4,30 
Nokia ,39999,33,4.3,139,0,4,48 
MOTOROLA ZX2 ,24999,37,4.4,100,0,3,40 
TCL P615 ,29999,42,4.4,108,0,4,24
OnePlus U1S ,66999,4,4.3,164,0,4,30 
Vu Cinema TV Action Series ,64999,35,4.4,164,0,4,100 
Thomson OATHPRO Series ,27999,26,4.4,108,0,4,30 
SAMSUNG ,17499,12,4.3,80,6,1,20 
realme SLED ,44999,35,4.3,139,0,4,24 
Coocaa ,34999,52,4.3,138,0,4,20 
realme ,39999,6,4.3,126,0,4,24 
TCL C815 Series ,59999,68,3.8,139,0,4,50 
TCL P615 ,29999,42,4.4,108,0,4,24
PHILIPS 8200 Series ,42999,46,4,126,0,4,16 
SAMSUNG ,16290,0,4.3,80,0,1,20 
TOSHIBA U50 Series ,37999,30,4.3,139,7,4,30 
Hisense A73F Series ,43490,27,4.5,126,0,4,102 
MOTOROLA Revou-Q ,55999,12,4.3,139,0,4,60 
acer Boundless Series ,34999,22,3.8,125.7,0,4,24 
Hisense A71F ,36999,25,4.4,139,0,4,30 
SONY W800G Series ,44999,35,4.5,123.2,0,3,10 
Nokia ,54999,31,3.9,140,0,4,60 
Hisense A6GE Series ,29990,18,4.3,108,0,4,24 
TCL P615 ,57999,51,4.1,164,0,4,24 
KODAK 7X Pro ,23999,17,4.3,108,0,4,24 
Thomson OATHPRO Series ,53999,23,4.4,164,0,4,30 
iFFALCON ,44999,64,4.3,138.6,0,4,30 
TCL C715 Series ,52999,59,4.4,139,0,4,30 
iFFALCON by TCL ,19999,45,4.3,100.3,0,3,20 
SAMSUNG Crystal 4K Pro ,55990,27,4.3,138,6,4,20 
SONY Bravia X7002G ,44999,32,4.5,108,5,4,20 
SAMSUNG ,17499,12,4.3,80,6,1,20 
acer P Series ,21999,26,3.9,105,0,3,24 
TCL C815 Series ,59999,68,3.8,139,0,4,50 
TCL C715 Series ,52999,59,4.4,139,0,4,30 
Hisense A71F ,36999,25,4.4,139,0,4,30 
SAMSUNG The Frame 2020 Series ,68999,38,4.6,125,6,4,20 
TOSHIBA U50 Series ,33999,27,4.3,126,7,4,30 
TCL S65A Series ,16499,44,4.2,79.97,0,1,20 
TCL P615 ,57999,51,4.1,164,0,4,24 
Coocaa ,18999,61,4.2,106,0,3,16 
LG ,57999,35,4.5,139,8,4,20 
MOTOROLA Revou ,43999,12,4.4,139,0,4,50 
TCL P615 ,29999,42,4.4,108,0,4,24
Blaupunkt Cybersound ,34499,28,4.7,126,0,4,60 
Nokia ,49999,28,3.9,127,0,4,60 
TCL P615 ,39999,47,4.4,139,0,5,24 
Hisense A6GE Series ,29990,18,4.3,108,0,4,24 
SAMSUNG The Frame 2021 Series ,73990,38,4.3,125,6,4,20 
Sansui ,30490,13,4.1,109,0,4,20 
LG UHD ,76990,45,4.4,164,8,4,20 
iFFALCON by TCL K72 ,29999,37,2.7,108,0,4,24 
Mi 4A Pro ,24999,16,4.4,108,0,3,20 
KODAK ,8499,19,4,60,0,1,20 
LG Nanocell ,48999,18,4.3,108,8,4,20 
SAMSUNG ,17499,12,4.3,80,6,1,20 
Thomson 9R Series ,34999,25,4.3,139,0,4,24 
SONY BRAVIA X7400H ,74999,20,4.6,138.8,0,4,20 
SAMSUNG Neo QLED ,84999,29,4.8,125,6,4,40 
TOSHIBA U50 Series ,37999,30,4.3,139,7,4,30 
TCL C815 Series ,59999,68,3.8,139,0,4,50 
Sansui ,36990,18,4.5,127,0,4,20 
Thomson R9 ,11999,19,4.2,80,0,1,20 
TCL P615 ,57999,51,4.1,164,0,4,24 
SAMSUNG The Frame 2021 Series ,58990,34,4.3,108,6,4,20 
Thomson 9R Series ,22999,23,4.3,108,0,4,24 
Nokia ,26999,32,4.2,107.9,0,3,39 
TCL C715 Series ,52999,59,4.4,139,0,4,30 
KODAK CA Series ,25999,31,4.4,108,0,4,30 
Croma ,7990,46,4.4,60.9,0,2,16 
Nokia ,31999,30,4.3,108,0,4,39 
TCL P615 ,29999,42,4.4,108,0,4,24
TCL ,31157,44,4.1,108,0,4,20 
TCL P715 ,34999,61,4.3,126,0,4,30 
KODAK CA Series ,32999,23,4.4,126,0,4,30 
TCL C715 Series ,45999,58,4.4,126,0,4,30 
acer XL Series ,38999,34,3.8,146,0,4,24 
TCL ,14339,37,4.3,79.97,0,4,20 
LG ,42990,25,4.4,109.22,0,4,20
SAMSUNG ,17499,12,4.3,80,6,1,20 
MOTOROLA Revou ,48999,18,4.4,139,0,4,50 
SONY X75 ,58490,12,4.8,108,0,4,20 
LG ,199999,42,4.4,164,8,4,40 
TCL C715 Series ,52999,59,4.4,139,0,4,30 
TOSHIBA U50 Series ,27999,29,4.3,108,7,4,24 
Micromax ,13299,33,4.4,81,0,1,24 
SONY W830 ,31890,8,4.7,80,0,1,20 
TCL C715 Series ,45999,58,4.4,126,0,4,30 
LG ,109999,49,4.6,139,8,4,40 
SAMSUNG Crystal 4K Pro ,89990,28,4.3,163,6,4,20 
SONY ,40999,33,4.6,108,0,4,10
TOSHIBA U50 Series ,33999,27,4.3,126,7,4,30 
SAMSUNG ,45400,20,4.3,108,6,3,20 
LG Nanocell ,65999,39,4.3,139,8,4,20 
Hisense A73F ,69999,22,4.5,164,0,4,102 
TCL P615 ,57999,51,4.1,164,0,4,24 
SAMSUNG The Frame 2021 Series ,121990,45,4.3,163,6,4,40 
TCL S6500 Series ,27190,43,4.3,108,0,3,20 
SONY X80J ,87390,20,4.7,138.8,2,4,20 
iFFALCON by TCL K72 ,43999,40,4.6,139,0,4,24 
Nokia ,44999,25,4.1,139,0,4,48 
SAMSUNG ,81999,36,4.5,163,6,4,20 
SAMSUNG ,21600,5,4.5,80,6,1,20 
SAMSUNG ,17499,12,4.3,80,6,1,20 
SAMSUNG Series 5 ,32999,38,4.4,108,0,3,40 
Dyanora ,8999,30,4.4,60,1,1,20 
LG ,41399,28,4.4,109.22,8,4,20
TCL C815 Series ,59999,68,3.8,139,0,4,50 
MOTOROLA Revou ,66999,16,4.4,164,0,4,50 
KODAK CA Series ,50999,27,4.4,164,0,4,30 
OnePlus U Series ,52999,11,4.3,138.8,0,4,30 
TOSHIBA U50 Series ,37999,30,4.3,139,7,4,30 
SONY X8000H ,85499,20,4.4,138.8,0,4,20 
T-Series ,12999,13,3.7,80,0,1,16 
Panasonic ,31999,8,4.3,100,0,3,16 
Hisense A71F ,36999,25,4.4,139,0,4,30 
LG Nanocell ,81999,45,4.8,139,8,4,20 
iFFALCON by TCL ,49999,50,4.4,163.82,0,4,16 
SONY X80J ,68990,7,4.7,108,2,4,20 
TCL P615 ,57999,51,4.1,164,0,4,24 
realme ,17999,25,4.2,80,0,0,24 
Blaupunkt Cyber Sound ,55999,26,4.4,164,0,4,60 
SAMSUNG ,58590,34,4.4,139,6,4,20 
TCL C715 Series ,52999,59,4.4,139,0,4,30 
LG ,99990,41,4.4,177.8,8,4,20 
SAMSUNG ,36599,8,4.4,108,6,3,20 
Adsun ,13699,40,3.8,98.9,1,1,20 
SAMSUNG ,17499,12,4.3,80,6,1,20 
iFFALCON by TCL K72 ,43999,40,4.6,139,0,4,24 
SAMSUNG 7 ,56190,19,4.4,125,6,4,20 
LG OLED A1 Series ,89999,47,2.7,121,8,4,20 
TCL C815 Series ,59999,68,3.8,139,0,4,50 
Nokia ,38999,29,4.1,127,0,4,48 
LG 2021 ,138900,53,4,139.7,0,4,40
T-Series ,9990,23,4.4,60,0,1,8
Hisense A71F ,36999,25,4.4,139,0,4,30 
LG ,43830,26,4.4,109.22,0,4,20 
RGL ,9990,23,4,60,0,1,16 
LG Nanocell ,129999,43,5,164,8,4,20 
TCL P615 ,57999,51,4.1,164,0,4,24 
PHILIPS Slim ,17159,31,4.1,80,0,1,16
TOSHIBA L50 Series ,17499,7,4.3,80,7,1,20 
SAMSUNG Q70RAK ,128999,24,4.6,138,6,4,40 
TCL C715 Series ,52999,59,4.4,139,0,4,30 
PHILIPS 6600 Series ,41999,64,4.2,146,5,4,20 
SAMSUNG ,31990,17,4.4,108,6,3,20 
SAMSUNG N5470 ,39999,19,4.3,108,6,3,40 
TCL P615 ,29999,42,4.4,108,0,4,24
Croma ,10990,45,4.8,81.28,0,1,20 
SAMSUNG Q70RAK ,128999,24,4.6,138,6,4,40 
LG ,46990,21,4.4,109.22,0,4,35
SAMSUNG ,17499,12,4.3,80,6,1,20 
SAMSUNG ,75999,49,4.5,163,6,4,20 
Sansui ,42990,19,4.4,140,0,4,20 
Panasonic FX600 Series ,46999,57,4.2,139,5,4,20 
TCL C815 Series ,59999,68,3.8,139,0,4,50 
iFFALCON V2A ,84999,63,4.3,163.83,0,4,30 
LG ,28579,7,4.4,80,8,1,35 
ONIDA Google Certified ,53199,33,4.2,147.32,0,4,20 
Hisense A71F ,36999,25,4.4,139,0,4,30 
SAMSUNG The Serif Series ,59990,36,4.7,108,6,4,40 
MOTOROLA ZX ,17999,17,4.3,80.5,0,1,20 
Adsun ,8699,48,3.8,80,0,1,20 
TCL P615 ,57999,51,4.1,164,0,4,24 
SAMSUNG ,149760,22,4.4,138,0,4,60 
Hisense A71F ,41999,17,4.4,146,0,4,30 
Panasonic FX730 Series ,44999,67,4.4,123,5,4,20 
Hisense A6GE Series ,29990,18,4.3,108,0,4,24 
SAMSUNG 4 ,20960,20,4.4,80,6,1,20 
iFFALCON by TCL ,149999,37,4.2,189.3,0,4,30 
TCL ,30063,39,4.2,123.2,0,3,16 
TCL C715 Series ,52999,59,4.4,139,0,4,30 
LG ,258700,35,4.4,164,8,4,60 
KODAK XPRO ,15499,51,4.3,102,1,3,20 
SONY X80J ,199491,33,4.7,189,2,4,20 
SAMSUNG ,17499,12,4.3,80,6,1,20 
LG Nanocell ,76197,41,4.8,139,8,4,20 
SONY ,64599,15,4.6,123,0,4,20 
SAMSUNG 6 ,162900,22,4.4,163,6,4,20 
TCL C815 Series ,59999,68,3.8,139,0,4,50 
Micromax ,66990,0,4.3,127,0,3,20 
SONY ,75099,16,4.4,123,0,4,20 
TCL G500 Series ,37319,28,4.3,140,4,4,20 
Hisense A71F ,36999,25,4.4,139,0,4,30 
LG ,16990,36,4.3,80,0,1,20 
SAMSUNG Super 6 ,46999,50,4.5,125,6,4,20 
Thomson ,28999,35,4.4,123.2,0,4,30 
TCL P615 ,57999,51,4.1,164,0,4,24 
SAMSUNG N4200 ,22499,9,4.3,80,6,1,10 
SONY Bravia X8500F ,259999,47,3.7,189.3,0,4,20 
LG ,54990,0,4.4,108,8,4,20 
TCL C715 Series ,52999,59,4.4,139,0,4,30 
Panasonic ,37999,11,4.2,127,0,4,20 
LG C9 ,149999,34,4.3,138,8,4,40 
OnePlus Q1 Series ,84990,14,4.8,138.8,0,4,50 
TCL P615 ,29999,42,4.4,108,0,4,24
SAMSUNG 4 ,29900,0,3.8,80,0,1,10 
SAMSUNG ,34999,40,4.5,108,6,3,40 
PHILIPS ,42000,0,3.8,107,0,3,16 
SAMSUNG ,17499,12,4.3,80,6,1,20 
Hisense U6G Series ,59999,24,4.4,139,0,4,24 
SAMSUNG 7 ,42890,14,4.4,108,6,4,20 
Micromax Smart LED TV ,22999,14,3.9,109,1,3,20 
TCL C815 Series ,59999,68,3.8,139,0,4,50 
Panasonic ,41309,18,4.4,108,0,4,20 
SAMSUNG Q Series ,470900,0,4.4,163,6,4,60 
LG ,57430,32,4.4,139.7,8,4,20
TOSHIBA U50 Series ,37999,30,4.3,139,7,4,30 
CloudWalker ,36999,40,4.1,139,1,4,16 
Thomson ,47999,40,4.4,163.89,0,4,40 
SAMSUNG R5570 ,36514,22,4.5,108,6,3,40 
Hisense A71F ,36999,25,4.4,139,0,4,30 
Thomson ,17999,33,4.2,108,1,3,20 
LG ,35999,21,4.3,108,0,3,20 
LG ,104990,0,4.8,139,8,4,20 
TCL P615 ,57999,51,4.1,164,0,4,24 
Micromax ,12990,48,4,81.28,0,1,20 
SAMSUNG ,43751,43,4.4,108,6,4,20 
Sansui ,18490,24,4.3,100,4,3,20 
TCL C715 Series ,52999,59,4.4,139,0,4,30 
